SourceType,SourceTypeLabel,Title,Url,LocalPath,Seq,StandardNo,StandardKey,StandardPage,MappingMethod,Confidence,InterpretationNo
interpretation,准则解释,关于印发企业会计准则解释第5号的通知,https://kjs.mof.gov.cn/zhengcefabu/201211/t20121122_701308.htm,raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第5号的通知.html,,25,cas-25,concepts/accounting-standards/cas-25,html-standard-number,medium,5
interpretation,准则解释,关于印发企业会计准则解释第5号的通知,https://kjs.mof.gov.cn/zhengcefabu/201211/t20121122_701308.htm,raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第5号的通知.html,,26,cas-26,concepts/accounting-standards/cas-26,html-standard-number,medium,5
interpretation,准则解释,关于印发企业会计准则解释第5号的通知,https://kjs.mof.gov.cn/zhengcefabu/201211/t20121122_701308.htm,raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第5号的通知.html,,30,cas-30,concepts/accounting-standards/cas-30,html-standard-number,medium,5
interpretation,准则解释,关于印发企业会计准则解释第5号的通知,https://kjs.mof.gov.cn/zhengcefabu/201211/t20121122_701308.htm,raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第5号的通知.html,,37,cas-37,concepts/accounting-standards/cas-37,html-standard-number,medium,5
interpretation,准则解释,关于印发《企业会计准则解释第6号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201401/t20140123_1038629.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第6号-的通知.html,,4,cas-04,concepts/accounting-standards/cas-04,html-standard-number,medium,6
interpretation,准则解释,关于印发《企业会计准则解释第6号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201401/t20140123_1038629.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第6号-的通知.html,,20,cas-20,concepts/accounting-standards/cas-20,html-standard-number,medium,6
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,2,cas-02,concepts/accounting-standards/cas-02,html-standard-number,medium,7
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,9,cas-09,concepts/accounting-standards/cas-09,html-standard-number,medium,7
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,11,cas-11,concepts/accounting-standards/cas-11,html-standard-number,medium,7
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,18,cas-18,concepts/accounting-standards/cas-18,html-standard-number,medium,7
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,22,cas-22,concepts/accounting-standards/cas-22,html-standard-number,medium,7
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,33,cas-33,concepts/accounting-standards/cas-33,html-standard-number,medium,7
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,34,cas-34,concepts/accounting-standards/cas-34,html-standard-number,medium,7
interpretation,准则解释,关于印发《企业会计准则解释第7号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第7号-的通知.html,,37,cas-37,concepts/accounting-standards/cas-37,html-standard-number,medium,7
interpretation,准则解释,关于印发《企业会计准则解释第8号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201601/t20160104_1643346.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第8号-的通知.html,,22,cas-22,concepts/accounting-standards/cas-22,html-standard-number,medium,8
interpretation,准则解释,关于印发《企业会计准则解释第8号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201601/t20160104_1643346.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第8号-的通知.html,,33,cas-33,concepts/accounting-standards/cas-33,html-standard-number,medium,8
interpretation,准则解释,关于印发《企业会计准则解释第8号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201601/t20160104_1643346.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第8号-的通知.html,,37,cas-37,concepts/accounting-standards/cas-37,html-standard-number,medium,8
interpretation,准则解释,关于印发《企业会计准则解释第8号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201601/t20160104_1643346.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第8号-的通知.html,,39,cas-39,concepts/accounting-standards/cas-39,html-standard-number,medium,8
interpretation,准则解释,关于印发《企业会计准则解释第9号——关于权益法下投资净损失的会计处理》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628433.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第9号-关于权益法下投资净损失的会计处理-的通知.html,,,unmapped,,unmapped,low,9
interpretation,准则解释,关于印发《企业会计准则解释第10号——关于以使用固定资产产生的收入为基础的折旧方法》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628435.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第10号-关于以使用固定资产产生的收入为基础的折旧方法-的通知.html,,4,cas-04,concepts/accounting-standards/cas-04,title-topic-keyword,medium,10
interpretation,准则解释,关于印发《企业会计准则解释第10号——关于以使用固定资产产生的收入为基础的折旧方法》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628435.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第10号-关于以使用固定资产产生的收入为基础的折旧方法-的通知.html,,14,cas-14,concepts/accounting-standards/cas-14,title-topic-keyword,medium,10
interpretation,准则解释,关于印发《企业会计准则解释第11号——关于以使用无形资产产生的收入为基础的摊销方法》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628437.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第11号-关于以使用无形资产产生的收入为基础的摊销方法-的通知.html,,6,cas-06,concepts/accounting-standards/cas-06,title-topic-keyword,medium,11
interpretation,准则解释,关于印发《企业会计准则解释第11号——关于以使用无形资产产生的收入为基础的摊销方法》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628437.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第11号-关于以使用无形资产产生的收入为基础的摊销方法-的通知.html,,14,cas-14,concepts/accounting-standards/cas-14,title-topic-keyword,medium,11
interpretation,准则解释,关于印发《企业会计准则解释第12号——关于关键管理人员服务的提供方与接受方是否为关联方》的通知,https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628439.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第12号-关于关键管理人员服务的提供方与接受方是否为关联方-的通知.html,,,unmapped,,unmapped,low,12
interpretation,准则解释,关于印发《企业会计准则解释第13号》的通知,https://kjs.mof.gov.cn/zhengcefabu/201912/t20191213_3441493.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第13号-的通知.html,,,unmapped,,unmapped,low,13
interpretation,准则解释,关于印发《企业会计准则解释第14号》的通知,https://kjs.mof.gov.cn/zhengcefabu/202102/t20210202_3653110.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第14号-的通知.html,,,unmapped,,unmapped,low,14
interpretation,准则解释,关于印发《企业会计准则解释第15号》的通知,https://kjs.mof.gov.cn/zhengcefabu/202112/t20211231_3779983.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第15号-的通知.html,,,unmapped,,unmapped,low,15
interpretation,准则解释,关于印发《企业会计准则解释第17号》的通知,https://kjs.mof.gov.cn/zhengcefabu/202311/t20231109_3915491.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第17号-的通知.html,,,unmapped,,unmapped,low,17
interpretation,准则解释,关于印发《企业会计准则解释第18号》的通知,https://kjs.mof.gov.cn/zhengcefabu/202412/t20241223_3950344.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第18号-的通知.html,,,unmapped,,unmapped,low,18
interpretation,准则解释,关于印发《企业会计准则解释第19号》的通知,https://kjs.mof.gov.cn/zhengcefabu/202512/t20251218_3979556.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第19号-的通知.html,,2,cas-02,concepts/accounting-standards/cas-02,html-standard-number,medium,19
interpretation,准则解释,关于印发《企业会计准则解释第19号》的通知,https://kjs.mof.gov.cn/zhengcefabu/202512/t20251218_3979556.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第19号-的通知.html,,13,cas-13,concepts/accounting-standards/cas-13,html-standard-number,medium,19
interpretation,准则解释,关于印发《企业会计准则解释第19号》的通知,https://kjs.mof.gov.cn/zhengcefabu/202512/t20251218_3979556.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第19号-的通知.html,,20,cas-20,concepts/accounting-standards/cas-20,html-standard-number,medium,19
interpretation,准则解释,关于印发《企业会计准则解释第19号》的通知,https://kjs.mof.gov.cn/zhengcefabu/202512/t20251218_3979556.htm,raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第19号-的通知.html,,22,cas-22,concepts/accounting-standards/cas-22,html-standard-number,medium,19
